ID,MEDV
TEST_000,20.052999999999997
TEST_001,38.18600000000001
TEST_002,15.956999999999995
TEST_003,21.438
TEST_004,22.447999999999983
TEST_005,29.638999999999996
TEST_006,18.70500000000001
TEST_007,14.458999999999994
TEST_008,26.932999999999993
TEST_009,20.858000000000015
TEST_010,14.94799999999999
TEST_011,27.958
TEST_012,24.876999999999995
TEST_013,20.79400000000001
TEST_014,46.83800000000001
TEST_015,16.43499999999999
TEST_016,14.149000000000003
TEST_017,26.12199999999999
TEST_018,24.354999999999976
TEST_019,29.719999999999995
TEST_020,19.290000000000006
TEST_021,10.39499999999999
TEST_022,23.973999999999997
TEST_023,34.97599999999998
TEST_024,18.806000000000008
TEST_025,23.889999999999997
TEST_026,19.529000000000007
TEST_027,14.31899999999999
TEST_028,24.156
TEST_029,11.413000000000006
TEST_030,8.869000000000002
TEST_031,30.229999999999983
TEST_032,44.56399999999999
TEST_033,19.889
TEST_034,21.463
TEST_035,19.020999999999994
TEST_036,20.222000000000012
TEST_037,21.855
TEST_038,20.644999999999985
TEST_039,25.291999999999994
TEST_040,12.260999999999992
TEST_041,20.46299999999998
TEST_042,15.734999999999989
TEST_043,10.822999999999997
TEST_044,21.251999999999995
TEST_045,14.464000000000006
TEST_046,9.881
TEST_047,45.482000000000006
TEST_048,23.620000000000005
TEST_049,21.513000000000005
TEST_050,32.42299999999998
